programcode,programname,subcode,subname,semester,slotno,exam date,exam timing,blockno,StudentCount
AE201,Bachelor of Engineering- Automobile Engineering,22SMT-125,MATHEMATICS – II,2,6,14-Mar-23,11:15 - 12:15,C3,25
AE201,Bachelor of Engineering- Automobile Engineering,22SPH-141,PHYSICS FOR ENGINEERS,2,4,13-Mar-23,14:30 - 15:30,C3,25
AE201,Bachelor of Engineering- Automobile Engineering,22CSH-103,OBJECT ORIENTED PROGRAMMING USING C++,2,8,14-Mar-23,14:30 - 15:30,C3,25
AE201,Bachelor of Engineering- Automobile Engineering,22MET-104,ENGINEERING MECHANICS,2,2,13-Mar-23,11:15 - 12:15,C3,25
AE201,Bachelor of Engineering- Automobile Engineering,21AET-252,BASICS OF AUTOMOBILE ENGINEERING,4,7,14-Mar-23,13:00 - 14:00,B4,29
AE201,Bachelor of Engineering- Automobile Engineering,21SMT-281,APPLIED MATHEMATICS III,4,9,15-Mar-23,09:45 - 10:45,B4,29
AE201,Bachelor of Engineering- Automobile Engineering,21AET-251,MECHANICS OF SOLIDS,4,5,14-Mar-23,09:45 - 10:45,B4,29
AE201,Bachelor of Engineering- Automobile Engineering,21AET-253,MANUFACTURING TECHNIQUES,4,1,13-Mar-23,09:45 - 10:45,B4,29
AE201,Bachelor of Engineering- Automobile Engineering,21TDT-252,APTITUDE,4,3,13-Mar-23,13:00 - 14:00,B4,29
AE201,Bachelor of Engineering- Automobile Engineering,SHO-443,FUEL AND COMBUSTION,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,20AET-351,VEHICLE MAINTENANCE AND DIAGNOSTICS,6,14,16-Mar-23,11:15 - 12:15,B4,19
AE201,Bachelor of Engineering- Automobile Engineering,20AET-352,AUTOMOTIVE ELECTRONICS,6,6,14-Mar-23,11:15 - 12:15,B4,19
AE201,Bachelor of Engineering- Automobile Engineering,20TDY-352,APTITUDE,6,12,15-Mar-23,14:30 - 15:30,B4,7
AE201,Bachelor of Engineering- Automobile Engineering,20AEA-357,AUTOMOTIVE REFRIGERATION AND AIR-CONDITIONING,6,8,14-Mar-23,14:30 - 15:30,B4,8
AE201,Bachelor of Engineering- Automobile Engineering,LSO-441,SPANISH LANGUAGE - I,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,20AEB-359,AUTOMOTIVE CHASIS AND SUSPENSION SYSTEM,6,10,15-Mar-23,11:15 - 12:15,B4,11
AE201,Bachelor of Engineering- Automobile Engineering,CAO-260,WEB DESIGNING,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,20AEY-356,TOTAL QUALITY MANAGEMENT,6,4,13-Mar-23,14:30 - 15:30,B4,12
AE201,Bachelor of Engineering- Automobile Engineering,ASO-321,UNMANNED AIR VEHICLES,6,15,16-Mar-23,13:00 - 14:00,B4,2
AE201,Bachelor of Engineering- Automobile Engineering,SHO-442,BATTERY TECHNOLOGY,6,15,16-Mar-23,13:00 - 14:00,B4,2
AE201,Bachelor of Engineering- Automobile Engineering,LGO-443,GERMAN LANGUAGE -I,6,15,16-Mar-23,13:00 - 14:00,B4,5
AE201,Bachelor of Engineering- Automobile Engineering,LEO-492,LITERATURE AND FILMS,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,PEO-372,GREEN AND CLEAN ENERGY FOR SUSTAINABLE DEVELOPMENT,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,20AEA-356,VEHICLE DYNAMICS,6,16,16-Mar-23,14:30 - 15:30,B4,8
AE201,Bachelor of Engineering- Automobile Engineering,CHO-360,INDUSTRIAL POLLUTION CONTROL,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,SHO-441,RENEWABLE ENERGY SOURCES,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,MEO-362,INDUSTRIAL SAFETY,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE201,Bachelor of Engineering- Automobile Engineering,CEO-374,DISASTER MANAGEMENT,6,15,16-Mar-23,13:00 - 14:00,B4,2
AE201,Bachelor of Engineering- Automobile Engineering,AEA-454,INSTRUMENTATION FOR AUTOMOBILE ENGINEERS,8,5,14-Mar-23,09:45 - 10:45,B4,28
AE201,Bachelor of Engineering- Automobile Engineering,AEA-453,MICROCONTROLLERS FOR AUTOMOBILES,8,3,13-Mar-23,13:00 - 14:00,B4,28
AE201,Bachelor of Engineering- Automobile Engineering,AEB-452,COMPOSITE MATERIALS,8,7,14-Mar-23,13:00 - 14:00,B4,28
AE201,Bachelor of Engineering- Automobile Engineering,AEC-451,ALTERNATE FUELS AND EMISSIONS,8,9,15-Mar-23,09:45 - 10:45,B4,28
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,21AET-251,MECHANICS OF SOLIDS,4,5,14-Mar-23,09:45 - 10:45,B4,5
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,21TDT-252,APTITUDE,4,3,13-Mar-23,13:00 - 14:00,B4,5
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,21SMT-281,APPLIED MATHEMATICS III,4,9,15-Mar-23,09:45 - 10:45,B4,5
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,21AET-253,MANUFACTURING TECHNIQUES,4,1,13-Mar-23,09:45 - 10:45,B4,5
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,21AET-252,BASICS OF AUTOMOBILE ENGINEERING,4,7,14-Mar-23,13:00 - 14:00,B4,5
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20AEY-356,TOTAL QUALITY MANAGEMENT,6,4,13-Mar-23,14:30 - 15:30,B4,9
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,MEO-362,INDUSTRIAL SAFETY,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,TMO-351,EVENT PLANNING AND MANAGEMENT,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20TDY-352,APTITUDE,6,12,15-Mar-23,14:30 - 15:30,B4,10
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,CEO-374,DISASTER MANAGEMENT,6,15,16-Mar-23,13:00 - 14:00,B4,3
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20AEA-356,VEHICLE DYNAMICS,6,16,16-Mar-23,14:30 - 15:30,B4,2
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,LGO-443,GERMAN LANGUAGE -I,6,15,16-Mar-23,13:00 - 14:00,B4,3
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,LHO-464,LANGUAGE HINDI,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20AEA-357,AUTOMOTIVE REFRIGERATION AND AIR-CONDITIONING,6,8,14-Mar-23,14:30 - 15:30,B4,2
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,HMO-391,HOTEL EQUIPMENTS OPERATION AND MAINTENANCE,6,15,16-Mar-23,13:00 - 14:00,B4,4
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20AEB-359,AUTOMOTIVE CHASIS AND SUSPENSION SYSTEM,6,10,15-Mar-23,11:15 - 12:15,B4,17
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,FDO-355,UNDERSTANDING FASHION LIBRARY,6,15,16-Mar-23,13:00 - 14:00,B4,1
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,20AET-352,AUTOMOTIVE ELECTRONICS,6,6,14-Mar-23,11:15 - 12:15,B4,19
AE202,Bachelor of Engineering - (Automobile Engineering)- Lateral Entry,SHO-443,FUEL AND COMBUSTION,6,15,16-Mar-23,13:00 - 14:00,B4,1
